Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2172,MITSUBISHI,LANCER,1995,1300,Manual,Petrol,330000,Colombo,12/4/2024,No Leasing,NEW,Available,Available,Available,Available,11.6
2173,MITSUBISHI,LANCER ASP,1996,1500,Manual,Petrol,319000,Kurunegala,1/24/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,7.8
2174,MITSUBISHI,LANCER ASP,1991,1500,Manual,Petrol,374000,Piliyandala,1/3/2025,No Leasing,USED,Available,Available,Available,Not_Available,10
2175,MITSUBISHI,LANCER ASP MODEL,1991,1500,Manual,Petrol,374000,Kurunegala,1/17/2025,No Leasing,USED,Available,Available,Available,Available,17.75
2176,MITSUBISHI,LANCER BOX,1988,1400,Manual,Petrol,407000,Kesbewa,2/5/2025,No Leasing,USED,Available,Not_Available,Available,Not_Available,12.5
2177,MITSUBISHI,LANCER BOX,1980,1400,Automatic,Petrol,495000,Kurunegala,2/5/2025,No Leasing,USED,Not_Available,Not_Available,Available,Not_Available,6.6
2178,MITSUBISHI,LANCER BOX,1983,,Manual,Petrol,462000,Gampaha,2/5/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,7.45
2179,MITSUBISHI,LANCER BOX,1983,1400,Manual,Petrol,462000,Dehiwala-Mount-Lavinia,2/4/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,7.45
2180,MITSUBISHI,LANCER BOX,1988,1400,Manual,Petrol,407000,Kurunegala,2/4/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,9.8
2181,MITSUBISHI,LANCER BOX,1983,1400,Manual,,462000,Ratnapura,2/4/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,17.14910714
2182,MITSUBISHI,LANCER BOX,1984,1410,Manual,Petrol,451000,Kegalle,2/3/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.75
2183,MITSUBISHI,LANCER BOX,1980,1300,Manual,Petrol,495000,Matara,2/3/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,9.75
2184,MITSUBISHI,LANCER BOX,1982,1400,Manual,Petrol,473000,Ratnapura,2/3/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,17.14910714
